x_axis,Avian_Lomolino,Avian_Asymp,Avian_Michaelis-Menten,Benthic Invertebrate_Lomolino,Benthic Invertebrate_Asymp,Benthic Invertebrate_Michaelis-Menten,Cetacean_Lomolino,Cetacean_Asymp,Cetacean_Michaelis-Menten,Fish_Lomolino,Fish_Asymp,Fish_Michaelis-Menten,Plant_Lomolino,Plant_Asymp,Plant_Michaelis-Menten,Insect_Lomolino,Insect_Asymp,Insect_Michaelis-Menten
21,245.67363186929373,243.5554785602699,242.1562038615087,,197.0819975714362,204.7137930546826,6.4750647529093515,4.973820873237369,4.800973298683892,328.93479543741915,284.22604065720736,308.6884755041549,92.51862618543777,90.80562222129896,88.36274332915234,144.8897842233929,142.53272906512368,140.41450705840526
22,248.42195257764828,245.1707000161863,244.12359999452556,,198.83213420977881,207.71282831890403,6.574732193420487,4.978413762678102,4.819056904991694,332.227239855789,284.5947713650683,310.9341816960169,93.36835726780302,91.19319501412855,88.69782940141744,148.2402569627868,145.03873539980975,142.74212034066542
23,251.00783880005713,246.57427678572765,245.94008934015457,,200.36248636057468,210.51650502484816,6.670303011724704,4.98194258129945,4.835615168859046,335.2976224473776,284.88103747203536,313.0042758824868,94.1765197924344,91.52694153743909,89.00466608236515,151.472101287406,147.35528373042405,144.92612133255327
24,253.44647928879726,247.79394096290918,247.6223932903891,,201.7006548521865,213.1433096841507,6.7620973582131105,4.984653850756958,4.850833272974451,338.16842124914183,285.1032817339073,314.91858198596145,94.94675831173778,91.81433720576932,89.28668122209247,154.5932538866416,149.49669737882337,146.97940345927202
25,255.75114035657026,248.85379086736862,249.1848507908575,,202.87077436422916,215.60946766066064,6.850398599782431,4.986736979095363,4.864867590015471,340.8591223826762,285.2758222852786,316.69404837223317,95.68226321703234,92.06181924499981,89.54676963889263,157.610847845835,151.47621680129743,148.9133615743488
26,257.933469684301,249.77476718281505,250.63982805739545,,203.89394871114098,217.92927862363211,6.935458830398434,4.9883374927079975,4.877851075584154,343.3867081779409,285.40977508845447,318.34525099642974,96.38584304151358,92.27493087642254,89.78739285046933,160.53132172644735,153.30608145490186,150.7381035312298
27,260.00374306561145,250.57506670640274,251.99804655181043,,204.78863146226522,220.11539400229714,7.017503375760791,4.989567202744102,4.889897493456262,345.76605184214463,285.5137700817246,319.88479447636126,97.05998292200246,92.45844547646738,90.01065722097029,163.36051021714943,154.99760547456822,152.46262689502944
28,261.9710664120705,251.27050188395577,253.26884763029346,,205.57095876315503,222.17904781318072,7.09673450641368,4.990512016184587,4.901104757837919,348.01023906057674,285.59450716500197,321.3236344617144,97.70689228458653,92.61647349307434,90.21837578398203,166.1037200474649,156.56124762890573,154.09496731634738
29,263.843542354376,251.87481323479872,254.46040768523702,,206.25504036073636,224.13024975294195,7.173334521866099,4.991237937264444,4.9115576006661446,350.1308319555446,285.6571878423228,322.6713387469388,98.32854405476837,92.75255451347617,90.41211758587133,168.76579400764686,158.0066759872353,155.6423237308723
30,265.62840858544797,252.39994083913214,255.57991425825932,,206.85321408114362,225.9779475626073,7.247468330390912,4.991795678498429,4.921329717797569,352.13808719394984,285.7058503298676,323.936300290802,98.92670713887784,92.869736545569,90.59324739282755,171.35116528855465,159.3428276976939,157.1111645004272
31,267.332153469112,252.85626025204456,256.63371114224856,,207.37626834989015,227.730164220928,7.319285621093827,4.992224203434153,4.930485509117848,354.0411373397185,285.74362971891173,325.1259121692883,99.50297351710397,92.97064428865363,90.76295788792471,173.86390388177605,160.5779642460211,158.50731779643638
32,268.9606132227347,253.25278750538723,257.6274186614803,,207.83363676765967,229.39411440472972,7.388922703800789,4.992553448627709,4.939081499471149,355.8481425298654,285.7729599547578,326.24671216858417,100.05878098677894,93.05753792270812,90.92229596469363,176.30775642035874,161.71972253669463,159.836048889159
33,270.519054062566,253.59735724797156,258.5660339463502,,208.2335682510109,230.97630378187532,7.456504076374617,4.9928064149977915,4.947167506686803,357.56641802779603,285.79573064418804,327.3045029918623,100.5954323680903,93.1323637329818,91.07218434259694,178.6861805642197,162.77516211225185,161.10212650369598
34,272.0122419981362,253.89677754381196,259.45401497993737,,208.5832758065862,232.48261401845713,7.522143766881682,4.993000774659359,4.954787607705027,359.2025420440218,285.8134087937893,328.3044527469819,101.11411181270769,93.19679770382483,91.21343944747852,181.00237482017405,163.75080880275695,162.30988000557534
35,273.4445024208742,254.156964386942,260.29535139996165,,208.88906662205702,233.91837584199084,7.585946488620455,4.993150105489511,4.961980942378028,360.76244731951857,285.8271333221696,329.25117938857693,101.61589872441215,93.25228305818872,91.34678628886562,183.25930451912023,164.65269507529987,163.46324886120678
36,274.8197712117202,254.3830585905696,261.0936244288515,,209.15645582007565,235.28843207371065,7.648008638698997,4.993264839671769,4.968782385898434,362.2514992730899,285.8377884350355,330.1488220261878,102.10177969936919,93.3000625836255,91.47287090656553,185.45972454097415,165.48639733300985,164.56582556390583
37,276.14163876344645,254.57952736008554,261.85205783097337,,209.39026592685386,236.59719220069906,7.708419165101019,4.993352992483649,4.975223114240827,363.67456297213613,285.84606059033587,331.0011014215159,102.57265881471714,93.34120646883873,91.59227083760123,187.6061992731446,166.2570703942052,165.62089301096083
38,277.4133880539738,254.7502525568212,262.5735614261992,,209.59471384934562,237.84867978363675,7.767260322636169,4.9934207222402875,4.9813310819625505,365.0360607599565,285.85248272346325,331.8113715398578,103.02936653219487,93.37663627428289,91.70550396134783,189.70112020451694,166.9694793648653,166.63145715094666
39,278.6380277010553,254.89860739648472,263.2607683982307,,209.77348692971913,239.04657377399744,7.824608334552633,4.993472760511517,4.987131427812598,366.34002203522584,285.85746858173223,332.58266366190446,103.47266743458667,93.40714557371598,91.81303600866052,191.7467214894024,167.628029101494,167.60027558512414
40,279.8183207642128,255.02752309769585,263.9160674060931,,209.92980944880716,240.19424463442465,7.880533973691011,4.993512742667175,4.992646820561566,367.59012641041966,285.8613393801391,333.31772427907435,103.90326697382291,93.43341772904479,91.91528696464259,193.74509376120164,168.23679144654403,168.52988269605686
41,280.95680992762533,255.13954679747172,264.5416303241733,,210.06650077796573,241.29478600922278,7.935103074720455,4.993543461842375,4.997897755084869,368.7897412605061,285.8643444957076,334.019047770993,104.32181737839808,93.45604119659225,92.01263655066877,195.69819643093234,168.79953040480095,169.42261178562973
42,282.0558395908385,255.23689187796674,265.1394362896848,,210.18602622814493,242.35104257167043,7.988376987101521,4.993567064064654,5.00290280685237,369.94195449959517,285.86667753365765,334.6889046845101,104.72892284265349,93.47552270762421,92.10542893652317,197.60786866920438,169.31972541639297,170.2806146296295
43,283.1175753073443,255.32148169883092,265.7112926185662,,210.29054151326562,243.36563457598092,8.040412976873283,4.993585198174467,5.007678851485327,371.0496032825767,285.8684888004633,335.32936628981446,105.12514410012547,93.49229861835902,92.19397680590833,199.47583924009177,169.80059287032472,171.1058787939015
44,284.1440209401851,255.394987599257,266.258853055481,,210.38193162982645,244.3409795600646,8.091264584093627,4.993599131012437,5.01224125484979,372.1152992142488,285.86989498737984,335.9423259731732,105.51100246658496,93.50674468368325,92.278564876534,201.30373533038693,170.24510599155428,171.90024300542623
45,285.137033845532,255.45886192056716,266.7836337460942,,210.4618448539578,245.27931157752332,8.14098194171627,4.993609835920254,5.016604038198375,373.1414505547373,285.8709866883033,336.52951793173344,105.88698342482341,93.51918447348966,92.35945295828661,203.09309049694613,170.6560132245759,172.66541082853124
46,286.0983383472083,255.5143667018049,267.2870272565219,,210.53172246908062,246.18269828093386,8.189612060822272,4.993618060737885,5.020780022099627,374.13028183299394,285.8718342363015,337.09253355917275,106.25353981207276,93.52989662015065,92.43687861868317,204.84535183746513,171.03585522717518,173.4029628603321
47,287.0295377253849,255.56259861530407,267.7703149129438,,210.59282476032627,247.0530561313785,8.237199086403802,4.993624380047327,5.024780952267185,375.08385121658995,285.8724922348374,337.6328358482461,106.61109466171517,93.5391210594597,92.51105951321239,206.56188647543712,171.3869805794296,174.1143676291366
48,287.93212490961946,255.604510634916,268.2346776916093,,210.64625374454252,247.89216396969042,8.283784527296241,4.99362923531265,5.028617609889842,376.0040659333177,285.87300307560884,338.15177208470203,106.96004374327318,93.54706440482822,92.5821954287081,208.24398743774788,171.71156030508433,174.800991353945
49,288.80749203881334,255.64093086501904,268.6812058540977,,210.6929730458353,248.70167515166168,8.329407463350243,4.993632965720469,5.032299908645005,376.8926959962586,285.87339966964294,338.65058506446906,107.30075783827722,93.5539045751117,92.65047008015415,209.89287899295314,172.01160129508878,175.46410670152372
50,289.65693902751815,255.67257890233725,269.1109074933221,,210.73382527511308,249.48312842142062,8.374104732510178,4.99363583187537,5.035836980233725,377.7513864473302,285.873707567596,339.1304230307256,107.63358478425626,93.55979477972151,92.71605269494744,211.50972150944023,172.2889587162933,176.10490065915292
