taxonID,scientificNameID,taxonConceptID,taxonomicStatus,kingdom,scientificName,verbatimIdentification,taxonRank,vernacularName,taxonRemarks,identificationQualifier
KL_Avian_0000163,91428,t0028457,accepted,Animalia,Urosphena squameiceps,Urosphena squameiceps,species,短尾鶯,,
KL_Avian_0000170,88991,t0040115,accepted,Animalia,Sturnia sinensis,Sturnia sinensis,species,灰背椋鳥,,
KL_Avian_0000185,79890,t0028130,accepted,Animalia,Muscicapa griseisticta,Muscicapa griseisticta,species,灰斑鶲,,
KL_Avian_0000220,56196,t0096882,accepted,Animalia,Eophona migratoria,Eophona migratoria,species,小桑鳲,,
KL_Plant_0000048,24320,t0055402,accepted,Plantae,Sonchus oleraceus,Sonchus oleraceus,species,苦滇菜,,
KL_Plant_0000052,25907,t0069832,accepted,Plantae,Youngia japonica,Youngia japonica,species,黃鵪菜,,
KL_Plant_0000073,25163,t0053389,accepted,Plantae,Digitaria sanguinalis,Digitaria sanguinalis,species,馬唐,,
KL_Plant_0000075,26121,t0087378,accepted,Plantae,Imperata cylindrica var. major,Imperata cylindrica var. major,variety,白茅,,
KL_Plant_0000081,139903,t0058740,accepted,Plantae,Pennisetum alopecuroides,Pennisetum alopecuroides,species,狼尾草,,
KL_Avian_0000066,81656,t0082282,accepted,Animalia,Onychoprion aleuticus,Onychoprion aleuticus,species,白腰燕鷗,,
KL_Avian_0000075,104865,t0029771,accepted,Animalia,Hydrobates monorhis,Hydrobates monorhis,species,黑叉尾海燕,,
KL_Avian_0000078,65997,t0076894,accepted,Animalia,Bulweria bulwerii,Bulweria bulwerii,species,穴鳥,,
KL_Avian_0000083,56525,t0097061,accepted,Animalia,Fregata minor,Fregata minor,species,軍艦鳥,,
KL_Avian_0000057,90844,t0047941,accepted,Animalia,Tringa glareola,Tringa glareola,species,鷹斑鷸,,
KL_Avian_0000067,60054,t0098970,accepted,Animalia,Sternula albifrons,Sternula albifrons,species,小燕鷗,,
KL_Insect_0000001,36747,t0027297,accepted,Animalia,Lampides boeticus,Lampides boeticus,species,豆波灰蝶,,
