taxonID,occurrenceID,eventDate,year,month,day,eventTime,basisOfRecord,continent,country,locality,samplingProtocol,scientificName,taxonRank,vernacularName,individualCount,organismQuantityType,organismQuantity,georeferenceVerificationStatus,geodeticDatum,decimalLongitude,decimalLatitude,coordinatePrecision,coordinateUncertaintyInMeters,recordedBy,sex,lifeStage,reproductiveCondition,behavior,vitality,occurrenceStatus,occurrenceRemarks,associatedMedia,associatedReferences,dynamicProperties,verbatimEventDate
KL_Cetacean_0000005,2022-07-26_Cetacean_HumanObservation_0032,2022/7/26,2022,7,26,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Pseudorca crassidens,species,偽虎鯨,6,individuals,5~8,able to georeference,WGS84,122.10949,25.54915,0.000001,,研海生態顧問股份有限公司,,,,繞圈徘徊,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:absent},2022/7/26
KL_Cetacean_0000003,2022-07-26_Cetacean_HumanObservation_0031,2022/7/26,2022,7,26,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Delphinus,genus,真海豚,175,individuals,150~200,able to georeference,WGS84,121.82925,25.18917,0.000001,,研海生態顧問股份有限公司,,,,游走,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:present},2022/7/26
KL_Cetacean_0000001,2022-07-26_Cetacean_HumanObservation_0035,2022/7/26,2022,7,26,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,25,individuals,20~30,able to georeference,WGS84,122.12775,25.52047,0.000001,,研海生態顧問股份有限公司,,,,游走,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:present},2022/7/26
KL_Cetacean_0000001,2022-07-26_Cetacean_HumanObservation_0033,2022/7/26,2022,7,26,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,90,individuals,80~100,able to georeference,WGS84,121.9371,25.26397,0.000001,,研海生態顧問股份有限公司,,,,覓食,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:present},2022/7/26
KL_Cetacean_0000002,2022-07-27_Cetacean_HumanObservation_0039,2022/7/27,2022,7,27,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops truncatus,species,真瓶鼻海豚,25,individuals,20~30,able to georeference,WGS84,121.93636,25.39721,0.000001,,研海生態顧問股份有限公司,,,,覓食,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:present},2022/7/27
KL_Cetacean_0000001,2022-07-27_Cetacean_HumanObservation_0038,2022/7/27,2022,7,27,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,35,individuals,30~40,able to georeference,WGS84,121.91146,25.28216,0.000001,,研海生態顧問股份有限公司,,,,游走,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:absent},2022/7/27
KL_Cetacean_0000006,2022-07-27_Cetacean_HumanObservation_0040,2022/7/27,2022,7,27,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Cetacea,infraorder,未知鯨豚,,individuals,無法判斷,able to georeference,WGS84,121.86551,25.20936,0.000001,,研海生態顧問股份有限公司,,,,不知,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:unknown},2022/7/27
KL_Cetacean_0000001,2022-09-30_Cetacean_HumanObservation_0041,2022/9/30,2022,9,30,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,22,individuals,18~25,able to georeference,WGS84,122.0079,25.41118,0.000001,,研海生態顧問股份有限公司,,,,游走,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:absent},2022/9/30
KL_Cetacean_0000001,2023-04-11_Cetacean_HumanObservation_0001,2023/4/11,2023,4,11,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,5,individuals,4~6,able to georeference,WGS84,122.0367,25.43526667,0.000001,,研海生態顧問股份有限公司,,,,覓食；游走,,,,,2023年棉花嶼、花瓶嶼野生動物保護區巡護暨生態調查委託案成果報告,{mother-calf pairs:null},2023/4/11
KL_Cetacean_0000001,2023-04-11_Cetacean_HumanObservation_0002,2023/4/11,2023,4,11,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,40,individuals,30~50,able to georeference,WGS84,122.0501306,25.43833056,0.000001,,研海生態顧問股份有限公司,,,,游走,,,,,2023年棉花嶼、花瓶嶼野生動物保護區巡護暨生態調查委託案成果報告,{mother-calf pairs:null},2023/4/11
