x_axis,Avian_Lomolino,Avian_Asymp,Avian_Michaelis-Menten,BenthicInvertebrate_Lomolino,BenthicInvertebrate_Asymp,BenthicInvertebrate_Michaelis-Menten,Cetacean_Lomolino,Cetacean_Asymp,Cetacean_Michaelis-Menten,Fish_Lomolino,Fish_Asymp,Fish_Michaelis-Menten,Insect_Lomolino,Insect_Asymp,Insect_Michaelis-Menten,Plant_Lomolino,Plant_Asymp,Plant_Michaelis-Menten
21,242.75667843110296,240.64073702789574,239.26806235335178,,191.0733646436729,198.78454576457332,6.4750647529093515,4.973820873237369,4.800973298683892,322.3253055639368,279.31476645750774,304.81970022681605,135.4692849360376,133.1746511258067,131.24847562263983,90.24415668076006,88.61182982362449,86.72069373528002
22,245.42978547029043,242.19549138369308,241.1759701083168,,192.6836333031366,201.62300605021346,6.574732193420487,4.978413762678102,4.819056904991694,325.37580016903104,279.63072649405956,306.98341905725835,138.41131790531531,135.314838555412,133.265284320698,90.91525845662332,88.87679405341493,86.99048210591026
23,247.94413986792355,243.54450255050475,242.93702815045032,,194.08679264848527,204.2746919761885,6.670303011724704,4.98194258129945,4.835615168859046,328.2158525323302,279.87401793535537,308.9772651550036,141.24223599386968,137.28125828053405,135.15329475377175,91.55043132370457,89.10056831986603,87.23720505052266
24,250.31464625700062,244.71499686132415,244.56756249036377,,195.3094806371437,206.7574513305429,6.7620973582131105,4.984653850756958,4.850833272974451,330.8671392013115,280.0613540492949,310.82048785540246,143.96976191220693,139.0880189790876,136.92446319515065,92.15298869143734,89.28955580080009,87.46369925951292
25,252.5543163253601,245.73059774393118,246.0815655591512,,196.37490910937336,209.08692809925333,6.850398599782431,4.986736979095363,4.864867590015471,333.348410182221,280.20560416922933,312.52953400064416,146.60081931369345,140.74808380661827,138.5893104760495,92.72581715629322,89.44916426926358,87.6723545827495
26,254.67456883715448,246.61180249923675,247.4910987649255,,197.30330444814095,211.27689243066737,6.935458830398434,4.9883374927079975,4.877851075584154,335.67597210735113,280.31667777198294,314.11854004402977,149.14164259643604,142.27336340441488,140.15713112807296,93.27144608046892,89.58396083398497,87.8651986799013
27,256.6854731605897,247.37639598676876,248.806614496413,,198.11229156225627,213.33951303886758,7.017503375760791,4.989567202744102,4.889897493456262,337.8640779596169,280.4022052241213,315.59972397894325,151.59786802271103,143.67480135603705,141.63616699482643,93.79210361025642,89.69780262468447,88.04396312967268
28,258.59594852951597,248.03980956648064,250.03721577208245,,198.81722848241947,215.2855834298503,7.09673450641368,4.990512016184587,4.901104757837919,339.92524391478514,280.4680619613473,316.9837001027451,153.974609913939,144.96245270539234,143.0337521610838,94.28976217951023,89.7939471617241,88.21013556900952
29,260.4139282953229,248.6154325412025,251.19086718146085,,199.43149792223934,217.12471083207976,7.173334521866099,4.991237937264444,4.9115576006661446,341.87050882176874,280.5187721103067,318.2797337772305,156.27652481382643,146.14555609971484,144.35643457977721,94.76617577537039,89.87514556826501,88.36500118923048
30,262.1464962507669,249.11488238540306,252.27456745545305,,199.96676133929702,218.86547481290125,7.247468330390912,4.991795678498429,4.921329717797569,343.70964815621863,280.5578192802061,319.49594911958087,158.50786586979254,147.23260007505658,145.61007865376618,95.2229106888071,89.9437212921469,88.50967604033043
31,263.80000049662664,249.54823921413717,253.29449156918102,,200.43318031941794,220.5155611076148,7.319285621093827,4.992224203434153,4.930485509117848,345.45135155776717,280.58788587453563,320.6394994666957,160.67252920008298,148.23138395987803,146.79995216317005,95.6613710670367,90.00163659007283,88.64513397004889
32,265.3801491161121,249.92424922433366,254.25610847353926,,200.83960948697228,222.08187506566165,7.388922703800789,4.992553448627709,4.939081499471149,347.1033710254257,280.61103736277164,321.7167081717009,162.77409364732256,149.14907383370797,147.93080025622797,96.08282028481413,90.05054867650774,88.77222857319227
33,266.89209100989257,250.2505012143645,255.16427919636885,,201.19376460346453,223.57063824608946,7.456504076374617,4.9928064149977915,4.947167506686803,348.67264530981714,280.62886417087867,322.73318558681495,164.81585503793525,149.9922539423664,149.00690869538897,96.48839892716008,90.09185714396097,88.8917111971746
34,268.3404845483431,250.53357974449054,256.02333902866394,,201.50236904564167,224.98747101182798,7.522143766881682,4.993000774659359,4.954787607705027,350.16540487180004,280.64259093798944,323.69392680275854,166.80085584897824,150.7669739386437,150.03215813599908,96.87914000646242,90.12674401155768,89.0042458064464
35,269.72955616141013,250.77919802933448,256.8371667287111,,201.77128144390025,226.33746343458986,7.585946488620455,4.993150105489511,4.961980942378028,351.58726087951374,280.65316064481425,324.60339373925217,168.73191101370574,151.47879228737924,151.01007088670065,97.25598190749183,90.15620754786748,89.11042132705292
36,271.0631505701854,250.9923132444758,257.6092430752035,,202.00560690411402,227.62523639601704,7.648008638698997,4.993264839671769,4.968782385898434,352.94328102136154,280.66129939310514,325.4655844337394,170.61163046309463,152.13281614636225,151.94385133907087,97.619779454273,90.18109083581166,89.21076195600108
37,272.34477403855794,251.17722657433467,258.34270063398213,,202.20979392434805,228.85499443089995,7.708419165101019,4.993352992483649,4.975223114240827,354.23805437100833,280.66756628629724,326.28409179846585,172.442438894142,152.73373800919268,152.83642104438889,97.97131341545753,90.20210589701824,89.30573581642167
38,273.5776317666365,251.33767002055615,259.04036623908326,,202.38771884635185,230.03057158587094,7.767260322636169,4.9934207222402875,4.9813310819625505,355.4757471153881,280.6723918379518,327.06215366733886,174.2265931706781,153.28586937300727,153.69044924651786,98.31129870438937,90.21985406593012,89.39576226012694
39,274.76466034399033,251.47688172289833,259.70479740282434,,202.54275944508225,231.15547134739654,7.824608334552633,4.993472760511517,4.987131427812598,356.66015062077196,280.6761075465265,327.80269560266424,175.9661976939805,153.79317167263054,154.50837954311268,98.64039148242287,90.23484319666014,89.48121805791467
